Ano;BomSucesso;Fagundes;Fazenda Carmo;Paraiso;Fagundes Barramento
1965;272.1;1578.6;;;
1966;1676;1022.3;;;
1967;1522.5;1182.8;856.6;628.2;
1968;1122.3;935.4;1716.8;2216;
1969;1309;1264.3;2167;2425.4;
1970;1017.4;1030.8;1752;1281.8;
1971;1181;1012.1;2590.5;1929.6;
1972;1437.7;1299.7;2105.9;2006.5;
1973;1309.9;1170.7;2346.4;2170.7;
1974;1100.1;1124.3;1818.2;1880.4;
1975;1246.4;1223.2;1830.6;2253.7;
1976;1551.5;1415.7;2063;2170.2;
1977;1233.4;1233.8;1867.8;1645.6;
1978;1415.4;1408.1;1900.9;1489.6;
1979;1612.1;1536.4;2208;1929.9;
1980;1273.2;823.2;1655.7;1667;
1981;1235.8;822.4;2182.7;3318.7;
1982;1771.4;276.2;2164.7;5196.1;
1983;1994.2;1357.1;2341.1;2666;
1984;709.4;674.8;1201.1;1541;
1985;1506.7;1367.3;2597.8;2363.3;
1986;1176.5;1088.6;2022.9;2438;
1987;1164.5;1162.1;1916.6;2269.9;
1988;1311.6;1333;2764.6;3008.5;
1989;1117.6;930.1;1901.7;3437.8;
1990;1193.1;693.7;2093.3;4357.1;
1991;1322.7;859.4;2543.7;3413.5;
1992;1197.3;807.6;1809.2;2723;
1993;808.1;433;1645;2081;
1994;1028.6;688.9;1964.4;4343.4;
1995;964.9;1176;2033.4;3595;
1996;1041.2;1396.7;2392;4276.5;
1997;1237.6;801.7;1874.5;2508.3;
1998;1495.1;967.5;2305.1;2624.4;
1999;991.7;1012.1;1846.6;2325.5;
2000;1218.8;987.8;1641.5;2301.1;
2001;1160.2;1417.3;1865;2688.2;
2002;1387.4;1281.9;1837.7;1659;
2003;1162.5;1298.4;2122.9;3208.2;
2004;1472.5;1298.1;2342.3;3370.7;
2005;1513.7;985.1;2091.5;2281.3;
2006;987.3;863;1874.9;3668;
2007;1406.4;1078.8;2078.2;2741;
2008;1361.9;1279.8;2451.5;4040.7;
2009;1565.8;1408.4;2827.6;3362.8;
2010;1434.2;1085.9;2323.6;4019.4;
2011;920.4;1071.8;1787.8;3985.2;
2012;1312.4;1070;1924.7;2611.7;
2013;1492.8;901.3;2180.8;4300.3;58.2
2014;642.3;634.56;1727.6;1613.8;341
2015;1079.6;1034.5;1350.4;1807.1;853.4
2016;1578.3;1342.5;2009.9;2550.1;731.6
2017;1180.042422;913.8;1543.5;2764.7;878.1
2018;1482.5;1006.6;2295.2;3583.2;930.6
2019;1206.327173;934.9;1436.2;3224.9;752.4
2020;1486.1;1040.8;2155.5;4422;638
2021;1043.9;874;1955.1;3850;682.6
2022;1127.846636;871.9;2099.5;5069.3;1005
2023;1284.4;807.8;2285.5;5226.8;
2024;1404.9;902.6;2240;4880.4;
2025;976.5;661.9;1546.3;4978.8;
